id,school,year,netPrice,graduationRate,medianDebt,medianEarnings,admissionRate,satAverage,actMidpoint,tuitionInState,tuitionOutOfState,pellGrantRate,federalLoanRate,retentionRate
100663,University of Alabama at Birmingham,2012,15123,0.4815,18750.0,39700.0,0.7223,1107.0,24.0,6798,15462,0.368,0.5529,0.7991
100663,University of Alabama at Birmingham,2013,14805,0.5377,20345.5,40200.0,0.8673,1146.0,25.0,7206,16398,0.3505,0.5397,0.8016
100663,University of Alabama at Birmingham,2014,14789,0.5554,20750.0,41200.0,0.8569,1107.0,24.0,7510,17062,0.346,0.5214,0.8288
100663,University of Alabama at Birmingham,2015,16023,0.5462,20926.5,NA,0.6043,1147.0,25.0,7766,17654,0.3505,0.5218,0.7864
100663,University of Alabama at Birmingham,2016,16475,0.5309,21833.0,NA,0.5814,1125.0,25.0,8040,18368,0.3525,0.5179,0.8161
100663,University of Alabama at Birmingham,2017,17535,0.5292,22500.0,NA,0.9181,1195.0,25.0,8328,19032,0.3532,0.5207,0.8436
100663,University of Alabama at Birmingham,2018,17005,0.5829,22500.0,NA,0.9211,1220.0,25.0,8568,19704,0.3632,0.5127,0.8186
100663,University of Alabama at Birmingham,2019,16953,0.634,22250.0,NA,0.7366,1234.0,26.0,8568,20400,0.3512,0.4798,0.831
100663,University of Alabama at Birmingham,2020,16530,0.6122,22300.0,54501.0,0.806,1245.0,26.0,8568,20400,0.3397,0.4688,0.864
100663,University of Alabama at Birmingham,2021,16585,0.6245,NA,NA,0.8854,1266.0,27.0,8568,20400,0.3253,0.4401,0.8392
100663,University of Alabama at Birmingham,2022,16755,0.6442,NA,NA,0.8668,1291.0,NA,8832,21216,0.3308,0.4132,0.8243
100663,University of Alabama at Birmingham,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100663,University of Alabama at Birmingham,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100751,The University of Alabama,2012,18526,0.6655,22500.0,41900.0,0.5308,1172.0,26.0,9200,22950,0.2247,0.4231,0.8537
100751,The University of Alabama,2013,21513,0.6665,22910.0,42700.0,0.5655,1171.0,26.0,9450,23950,0.2107,0.4148,0.87
100751,The University of Alabama,2014,20787,0.6566,23250.0,44500.0,0.5105,1185.0,27.0,9826,24950,0.204,0.401,0.867
100751,The University of Alabama,2015,20575,0.6709,23575.0,NA,0.5359,1181.0,27.0,10170,25950,0.2009,0.4059,0.8647
100751,The University of Alabama,2016,21676,0.6871,23290.0,NA,0.5259,1202.0,27.0,10470,26950,0.1938,0.4007,0.8627
100751,The University of Alabama,2017,21973,0.6787,23250.0,NA,0.533,1278.0,28.0,10780,28100,0.18,0.3878,0.8709
100751,The University of Alabama,2018,22232,0.7188,23250.0,NA,0.5906,1252.0,27.0,10780,29230,0.1796,0.3847,0.8788
100751,The University of Alabama,2019,22597,0.711,23072.0,NA,0.8268,1261.0,27.0,10780,30250,0.1772,0.3802,0.8693
100751,The University of Alabama,2020,20917,0.7214,22750.0,59221.0,0.8039,1262.0,27.0,11620,31090,0.1718,0.3644,0.8723
100751,The University of Alabama,2021,21534,0.7223,NA,NA,0.789,1244.0,26.0,11620,31090,0.1712,0.3454,0.8855
100751,The University of Alabama,2022,20888,0.7276,NA,NA,0.8006,1304.0,NA,11940,32300,0.1788,0.3388,0.8668
100751,The University of Alabama,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100751,The University of Alabama,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100858,Auburn University,2012,16284,0.6827,21139.0,45700.0,0.7723,1217.0,27.0,9446,25190,0.1754,0.3714,0.9001
100858,Auburn University,2013,17541,0.6792,21500.0,47100.0,0.8274,1215.0,27.0,9852,26364,0.1687,0.361,0.8946
100858,Auburn University,2014,18644,0.7086,21500.0,48800.0,0.8347,1215.0,27.0,10200,27384,0.161,0.3494,0.9052
100858,Auburn University,2015,22183,0.7292,21500.0,NA,0.7766,1218.0,27.0,10424,28040,0.1631,0.347,0.898
100858,Auburn University,2016,22881,0.7501,21500.0,NA,0.8054,1217.0,27.0,10696,28840,0.1532,0.3279,0.9101
100858,Auburn University,2017,23416,0.7658,21000.0,NA,0.8393,1282.0,27.0,10968,29640,0.1489,0.3198,0.9152
100858,Auburn University,2018,23696,0.7812,21281.0,NA,0.7543,1289.0,28.0,11276,30524,0.1537,0.3169,0.8999
100858,Auburn University,2019,24104,0.7911,21500.0,NA,0.8067,1300.0,28.0,11492,31124,0.1455,0.3052,0.9136
100858,Auburn University,2020,24018,0.787,21000.0,65337.0,0.8507,1302.0,28.0,11796,31956,0.1343,0.298,0.9197
100858,Auburn University,2021,23258,0.8088,NA,NA,0.7118,NA,NA,11826,31986,0.1301,0.2869,0.9289
100858,Auburn University,2022,24297,0.8075,NA,NA,0.436,1292.0,NA,12176,32960,0.1254,0.2787,0.9202
100858,Auburn University,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100858,Auburn University,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104151,Arizona State University Campus Immersion,2012,12366,0.5683,18250.0,45100.0,0.8891,1105.0,24.0,9724,22977,0.4065,0.5306,0.7995
104151,Arizona State University Campus Immersion,2013,11480,0.5947,19060.0,45400.0,0.8023,1145.0,25.0,9861,23654,0.3376,0.4784,0.844
104151,Arizona State University Campus Immersion,2014,10858,0.6343,19874.0,47700.0,0.8433,1145.0,25.0,10157,24503,0.3192,0.4527,0.8609
104151,Arizona State University Campus Immersion,2015,11337,0.6553,20086.0,NA,0.8291,1158.0,26.0,10158,25458,0.3138,0.4317,0.8619
104151,Arizona State University Campus Immersion,2016,11572,0.6736,20000.0,NA,0.825,1147.0,25.0,10370,26470,0.3007,0.4095,0.8588
104151,Arizona State University Campus Immersion,2017,11163,0.6335,20349.0,NA,0.8415,1235.0,26.0,10792,27372,0.2928,0.3875,0.8659
104151,Arizona State University Campus Immersion,2018,11644,0.6904,20278.0,NA,0.8478,1240.0,26.0,10822,28336,0.3026,0.3652,0.8765
104151,Arizona State University Campus Immersion,2019,11706,0.6349,20000.0,NA,0.8647,1230.0,25.0,11338,29428,0.293,0.3392,0.8844
