id,school,year,netPrice,graduationRate,medianDebt,medianEarnings,admissionRate,satAverage,actMidpoint,tuitionInState,tuitionOutOfState,pellGrantRate,federalLoanRate,retentionRate,imputation_bitmask,imputation_bit_order
100663,University of Alabama at Birmingham,2012,15123.0,0.4815,18750.0,39700.0,0.7223,1107.0,24.0,6798.0,15462.0,0.368,0.5529,0.7991,000000000000,netPrice|graduationRate|medianDebt|medianEarnings|admissionRate|satAverage|actMidpoint|tuitionInState|tuitionOutOfState|pellGrantRate|federalLoanRate|retentionRate
100663,University of Alabama at Birmingham,2013,14805.0,0.5377,20345.5,40200.0,0.8673,1146.0,25.0,7206.0,16398.0,0.3505,0.5397,0.8016,000000000000,netPrice|graduationRate|medianDebt|medianEarnings|admissionRate|satAverage|actMidpoint|tuitionInState|tuitionOutOfState|pellGrantRate|federalLoanRate|retentionRate
100663,University of Alabama at Birmingham,2014,14789.0,0.5554,20750.0,41200.0,0.8569,1107.0,24.0,7510.0,17062.0,0.346,0.5214,0.8288,000000000000,netPrice|graduationRate|medianDebt|medianEarnings|admissionRate|satAverage|actMidpoint|tuitionInState|tuitionOutOfState|pellGrantRate|federalLoanRate|retentionRate
100663,University of Alabama at Birmingham,2015,16023.0,0.5462,20926.5,NA,0.6043,1147.0,25.0,7766.0,17654.0,0.3505,0.5218,0.7864,000000000000,netPrice|graduationRate|medianDebt|medianEarnings|admissionRate|satAverage|actMidpoint|tuitionInState|tuitionOutOfState|pellGrantRate|federalLoanRate|retentionRate
100663,University of Alabama at Birmingham,2016,16475.0,0.5309,21833.0,NA,0.5814,1125.0,25.0,8040.0,18368.0,0.3525,0.5179,0.8161,000000000000,netPrice|graduationRate|medianDebt|medianEarnings|admissionRate|satAverage|actMidpoint|tuitionInState|tuitionOutOfState|pellGrantRate|federalLoanRate|retentionRate
100663,University of Alabama at Birmingham,2017,17535.0,0.5292,22500.0,NA,0.9181,1195.0,25.0,8328.0,19032.0,0.3532,0.5207,0.8436,000000000000,netPrice|graduationRate|medianDebt|medianEarnings|admissionRate|satAverage|actMidpoint|tuitionInState|tuitionOutOfState|pellGrantRate|federalLoanRate|retentionRate
100663,University of Alabama at Birmingham,2018,17005.0,0.5829,22500.0,NA,0.9211,1220.0,25.0,8568.0,19704.0,0.3632,0.5127,0.8186,000000000000,netPrice|graduationRate|medianDebt|medianEarnings|admissionRate|satAverage|actMidpoint|tuitionInState|tuitionOutOfState|pellGrantRate|federalLoanRate|retentionRate
100663,University of Alabama at Birmingham,2019,16953.0,0.634,22250.0,NA,0.7366,1234.0,26.0,8568.0,20400.0,0.3512,0.4798,0.831,000000000000,netPrice|graduationRate|medianDebt|medianEarnings|admissionRate|satAverage|actMidpoint|tuitionInState|tuitionOutOfState|pellGrantRate|federalLoanRate|retentionRate
100663,University of Alabama at Birmingham,2020,16530.0,0.6122,22300.0,54501.0,0.806,1245.0,26.0,8568.0,20400.0,0.3397,0.4688,0.864,000000000000,netPrice|graduationRate|medianDebt|medianEarnings|admissionRate|satAverage|actMidpoint|tuitionInState|tuitionOutOfState|pellGrantRate|federalLoanRate|retentionRate
100663,University of Alabama at Birmingham,2021,16585.0,0.6245,NA,NA,0.8854,1266.0,27.0,8568.0,20400.0,0.3253,0.4401,0.8392,000000000000,netPrice|graduationRate|medianDebt|medianEarnings|admissionRate|satAverage|actMidpoint|tuitionInState|tuitionOutOfState|pellGrantRate|federalLoanRate|retentionRate
